perturbation_pct,trial,test_auc
5,0,0.7715760151599002
5,1,0.769643769029141
5,2,0.7713177537994031
10,0,0.769525620392954
10,1,0.7698563911795017
10,2,0.7713162697393949
20,0,0.76868517102098
20,1,0.7675536887516212
20,2,0.7678124215194152
