Algorithm,Val AUC,Train Time (s)
GBT,0.7395339245205198,15.082934379577637
RandomForest,0.7316893253168775,3.3324496746063232
SVM,0.6584783539825817,7.7667460441589355
LogisticRegression,0.6522121928391262,3.894361734390259
